"child"	"age"	"sex"	"task"	"rater1"	"rater2"	"rater2b"	"rater1.sds"	"rater2.sds"	"rater2b.sds"
1	6	2	1	10.7	10.5	10.3	1.23	1.14	1.05
1	6	2	2	11.7	11.4	11.2	1.36	1.24	1.16
1	6	2	3	14	13.9	13.9	0.46	0.43	0.43
1	6	2	4	15.4	15.4	15.3	0.64	0.64	0.61
1	6	2	5	5.7	6.9	6.7	-1.08	-0.06	-0.22
1	6	2	6	5.6	7	7.3	-1.69	-0.5	-0.27
1	6	2	7	8.3	8.3	8.4	-1.21	-1.21	-1.14
1	6	2	8	10.6	10.6	10.7	-0.17	-0.17	-0.12
1	6	2	9	6.4	6.2	6.6	-0.37	-0.54	-0.2
1	6	2	10	7.5	6.7	7.1	-0.2	-0.81	-0.49
1	6	2	11	6.9	7	7.1	-1.07	-1.01	-0.95
1	6	2	12	7.8	7.6	7.7	-0.44	-0.56	-0.5
1	6	2	13	23.8	23.2	24	-0.45	-0.62	-0.4
1	6	2	14	29.4	28.9	28.9	-0.35	-0.46	-0.46
1	6	2	15	30.8	31.7	31	1.19	1.37	1.23
1	6	2	16	29.4	29.6	30.3	-0.32	-0.28	-0.13
2	6	2	1	8.1	7.8	8.3	-0.04	-0.22	0.07
2	6	2	2	7.9	7.8	8.3	-0.43	-0.49	-0.21
2	6	2	3	11.8	11	11.3	-0.21	-0.48	-0.38
2	6	2	4	10.2	9.5	9.6	-0.96	-1.24	-1.2
2	6	2	5	6.9	7.4	7.2	-0.06	0.31	0.17
2	6	2	6	8	8.2	8.6	0.22	0.35	0.6
2	6	2	7	8.8	8.4	8.4	-0.86	-1.14	-1.14
2	6	2	8	8.9	8.5	8.6	-1.21	-1.48	-1.41
2	6	2	9	7.5	8.5	7.7	0.49	1.17	0.64
2	6	2	10	7.7	8.7	8.4	-0.05	0.61	0.42
2	6	2	11	9.8	10.5	10	0.47	0.78	0.56
2	6	2	12	8.1	8.3	8.2	-0.28	-0.17	-0.22
2	6	2	13	22.3	22.2	23	-0.89	-0.92	-0.68
2	6	2	14	32.7	32.9	33.1	0.36	0.4	0.44
2	6	2	15	25.6	27	26.6	0	0.34	0.25
2	6	2	16	37.3	37.4	38	1.2	1.22	1.32
3	6	1	1	10.3	9.9	10.5	1.05	0.87	1.14
3	6	1	2	9	8.5	8.5	0.16	-0.1	-0.1
3	6	1	3	15	14.2	15.2	0.73	0.51	0.78
3	6	1	4	9.6	11	8.3	-1.2	-0.67	-1.76
3	6	1	5	10	9.8	9.9	2.2	2.09	2.15
3	6	1	6	8.1	7.9	7.8	0.56	0.43	0.36
3	6	1	7	6.7	6.7	6.7	-2.48	-2.48	-2.48
3	6	1	8	8.5	8.9	8.9	-1.48	-1.21	-1.21
3	6	1	9	7.1	7.4	7.4	0.2	0.42	0.42
3	6	1	10	8.3	9.1	9.7	0.35	0.85	1.2
3	6	1	11	7.8	12.4	12.5	-0.87	1.17	1.21
3	6	1	12	11	10.8	11	0.74	0.65	0.74
3	6	1	13	26.8	27.8	27.8	0.33	0.58	0.58
3	6	1	14	28.1	28.4	28.6	-0.65	-0.58	-0.53
3	6	1	15	32.2	32.5	32.7	1.47	1.53	1.57
3	6	1	16	29.9	30.3	30.2	-0.21	-0.13	-0.15
4	6	1	1	6.5	6.4	6.5	-1.05	-1.12	-1.05
4	6	1	2	7.7	7.2	7.8	-0.55	-0.86	-0.49
4	6	1	3	10.1	10	9.9	-0.81	-0.85	-0.89
4	6	1	4	7	6.7	6.7	-2.43	-2.6	-2.6
4	6	1	5	6.1	7.7	6.2	-0.44	0.81	-0.35
4	6	1	6	8.4	8.7	9.3	0.76	0.94	1.3
4	6	1	7	6.6	6.5	6.1	-2.57	-2.66	-3.03
4	6	1	8	8.8	7.9	8	-1.27	-1.91	-1.84
4	6	1	9	6.4	6.3	6.4	-0.37	-0.45	-0.37
4	6	1	10	6.4	6.6	6.9	-1.06	-0.89	-0.65
4	6	1	11	6.1	6.7	6.6	-1.96	-1.54	-1.61
4	6	1	12	6.2	6.6	6.4	-1.79	-1.52	-1.65
4	6	1	13	25.5	26.2	25.9	0	0.18	0.11
4	6	1	14	26.9	26.9	27.1	-0.94	-0.94	-0.89
4	6	1	15	25.8	26.7	26.5	0.05	0.27	0.22
4	6	1	16	29.2	29.6	29.6	-0.36	-0.28	-0.28
5	6	2	1	11.4	11.3	11.4	1.52	1.48	1.52
5	6	2	2	10.9	10.7	10.7	1.03	0.95	0.95
5	6	2	3	14.6	15	14.2	0.62	0.73	0.51
5	6	2	4	17	16.9	16.1	1.02	1	0.81
5	6	2	5	7.4	7.6	8.3	0.31	0.46	0.93
5	6	2	6	10.1	10.2	10.2	1.46	1.51	1.51
5	6	2	7	9	9.1	9.1	-0.73	-0.67	-0.67
5	6	2	8	11.3	11.3	11.2	0.21	0.21	0.15
5	6	2	9	8.1	7.7	8	0.91	0.64	0.84
5	6	2	10	9.5	8.6	10.1	1.09	0.55	1.42
5	6	2	11	11.6	11.7	11.9	1.22	1.25	1.33
5	6	2	12	14.3	14.7	14.5	2.23	2.35	2.29
5	6	2	13	24.4	24.7	24.8	-0.29	-0.21	-0.18
5	6	2	14	37.1	37	36.9	1.2	1.18	1.16
5	6	2	15	25	25.5	26	-0.15	-0.02	0.1
5	6	2	16	30.2	30.2	31	-0.15	-0.15	0.02
6	6	1	1	9.9	9.2	9.3	0.87	0.54	0.59
6	6	1	2	10.7	10.4	9.9	0.95	0.82	0.6
6	6	1	3	6.5	6	6.2	-2.52	-2.83	-2.71
6	6	1	4	12.5	8	8.7	-0.17	-1.91	-1.58
6	6	1	5	4.8	6.7	5.8	-1.72	0.06	-0.71
6	6	1	6	5.5	7	5.9	-1.51	-0.22	-1.13
6	6	1	7	7.3	6	6	-1.97	-3.13	-3.13
6	6	1	8	9.3	8.9	8.8	-0.95	-1.21	-1.27
6	6	1	9	7.1	7.2	7.2	0.2	0.27	0.27
6	6	1	10	7.5	7.5	7.9	-0.2	-0.2	0.08
6	6	1	11	8.3	9	8.9	-0.6	-0.24	-0.29
6	6	1	12	10.7	11.9	10.5	0.61	1.08	0.53
6	6	1	13	32	32.4	32.4	1.51	1.6	1.6
