num_pres,face_id,0,1,all_n,memorability
1,1,201,214,415,0.515662651
1,2,123,292,415,0.703614458
1,3,192,223,415,0.537349398
1,4,221,194,415,0.46746988
1,5,245,170,415,0.409638554
1,6,167,248,415,0.597590361
1,7,249,166,415,0.4
1,8,235,180,415,0.43373494
1,9,210,205,415,0.493975904
1,10,310,105,415,0.253012048
1,11,241,174,415,0.419277108
1,12,290,125,415,0.301204819
1,13,311,104,415,0.25060241
1,14,189,226,415,0.544578313
1,15,134,281,415,0.677108434
1,26,212,203,415,0.489156627
1,27,206,209,415,0.503614458
1,28,231,184,415,0.443373494
1,29,201,214,415,0.515662651
1,30,264,151,415,0.363855422
1,31,135,280,415,0.674698795
1,32,216,199,415,0.479518072
1,33,194,221,415,0.53253012
1,34,123,292,415,0.703614458
1,35,127,288,415,0.693975904
1,36,214,201,415,0.484337349
1,37,193,222,415,0.534939759
1,38,173,242,415,0.58313253
1,39,148,267,415,0.643373494
1,40,201,214,415,0.515662651
